Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2022-01-03T21:00:00Z,AAPL,178.632516807,56,Market On Open,Filled,10003.420941192,"" 
2022-01-05T21:00:00Z,AAPL,168.64490388,2,Market On Open,Filled,337.28980776,"" 
2022-01-19T21:00:00Z,AAPL,163.215790095,2,Market On Open,Filled,326.43158019,"" 
2022-01-20T21:00:00Z,AAPL,160.926758337,-121,Market On Open,Filled,-19472.137758777,"" 
2022-01-25T21:00:00Z,AAPL,159.889846515,-2,Market On Open,Filled,-319.77969303,"" 
2022-01-28T21:00:00Z,AAPL,166.473258366,122,Market On Open,Filled,20309.737520652,"" 
2022-01-31T21:00:00Z,AAPL,170.2100538,-2,Market On Open,Filled,-340.4201076,"" 
2022-02-11T21:00:00Z,AAPL,163.9036731,2,Market On Open,Filled,327.8073462,"" 
2022-02-22T21:00:00Z,AAPL,162.1798147,-119,Market On Open,Filled,-19299.3979493,"" 
2022-02-23T21:00:00Z,AAPL,149.2900553,-2,Market On Open,Filled,-298.5801106,"" 
2022-02-28T21:00:00Z,AAPL,161.32768015,2,Market On Open,Filled,322.6553603,"" 
2022-03-02T21:00:00Z,AAPL,164.9810846,120,Market On Open,Filled,19797.730152,"" 
2022-03-04T21:00:00Z,AAPL,160.0837596,-121,Market On Open,Filled,-19370.1349116,"" 
2022-03-08T21:00:00Z,AAPL,158.19339215,-2,Market On Open,Filled,-316.3867843,"" 
2022-03-09T21:00:00Z,AAPL,156.82214115,2,Market On Open,Filled,313.6442823,"" 
2022-03-10T21:00:00Z,AAPL,155.734935,-2,Market On Open,Filled,-311.46987,"" 
2022-03-14T20:00:00Z,AAPL,147.83065245,-3,Market On Open,Filled,-443.49195735,"" 
2022-03-15T20:00:00Z,AAPL,153.7955943,2,Market On Open,Filled,307.5911886,"" 
2022-03-16T20:00:00Z,AAPL,155.343149,2,Market On Open,Filled,310.686298,"" 
2022-03-18T20:00:00Z,AAPL,160.2208847,122,Market On Open,Filled,19546.9479334,"" 
2022-03-23T20:00:00Z,AAPL,167.7235866,-2,Market On Open,Filled,-335.4471732,"" 
2022-03-29T20:00:00Z,AAPL,174.84429715,-2,Market On Open,Filled,-349.6885943,"" 
2022-04-06T20:00:00Z,AAPL,167.5668722,2,Market On Open,Filled,335.1337444,"" 
2022-04-14T20:00:00Z,AAPL,160.5343135,-118,Market On Open,Filled,-18943.048993,"" 
2022-04-19T20:00:00Z,AAPL,165.3532813,119,Market On Open,Filled,19677.0404747,"" 
2022-04-22T20:00:00Z,AAPL,157.76242755,-120,Market On Open,Filled,-18931.491306,"" 
2022-04-26T20:00:00Z,AAPL,152.600647,-2,Market On Open,Filled,-305.201294,"" 
2022-04-28T20:00:00Z,AAPL,158.5166156,3,Market On Open,Filled,475.5498468,"" 
2022-04-29T20:00:00Z,AAPL,153.43319225,-2,Market On Open,Filled,-306.8663845,"" 
2022-05-04T20:00:00Z,AAPL,160.2992419,121,Market On Open,Filled,19396.2082699,"" 
2022-05-05T20:00:00Z,AAPL,152.913140149,-121,Market On Open,Filled,-18502.489958029,"" 
2022-05-09T20:00:00Z,AAPL,152.599250837,-2,Market On Open,Filled,-305.198501674,"" 
2022-05-11T20:00:00Z,AAPL,140.07310548,-3,Market On Open,Filled,-420.21931644,"" 
2022-05-12T20:00:00Z,AAPL,141.887778065,-2,Market On Open,Filled,-283.77555613,"" 
2022-05-13T20:00:00Z,AAPL,142.72154655,2,Market On Open,Filled,285.4430931,"" 
2022-05-18T20:00:00Z,AAPL,137.091157016,-3,Market On Open,Filled,-411.273471048,"" 
